Departamento,Código da Disciplina,Descrição da Disciplina,Nível de Ensino,Curso(s),Carga Horária,Teórica/Prática,Cód. Pré-Requisitos,Cód. Co-Requisitos,Data da Apuração
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16830,ARTES,TÉCNICO INTEGRADO,"TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM MINERAÇÃO , TÉCNICO DE NÍVEL MÉDIO EM EDIFICAÇÕES , TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA , TÉCNICO DE NÍVEL MÉDIO EM ELETRÔNICA",80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16896,TÓPICOS EM EDUCAÇÃO FÍSICA,TÉCNICO INTEGRADO,NULL,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16901,DESENHO DE MÁQUINAS - 2° SÉRIE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16902,MÁQUINAS TÉRMICAS E MÁQUINAS DE FLUXO - 2° SÉRIE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16903,MECÂNICA TÉCNICA E RESISTÊNCIA DE MATERIAIS - 2° SÉRIE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16904,"METALOGRAFIA, TRATAMENTOS TÉRMICOS E FUNDIÇÃO - 2° SÉRIE",TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16905,METROLOGIA - 2° SÉRIE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16907,CONFORMAÇÃO MECÂNICA E CALDEIRARIA - 3° SÉRIE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16908,GESTÃO INDUSTRIAL - 3° SÉRIE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
COORDENAÇÃO DE REGISTRO ACADÊMICO - AX,4FGE.16910,MANUFATURA ASSISTIDA POR COMPUTADOR (CAD/CAM/CNC) - 3° SÉRIE,TÉCNICO INTEGRADO,TÉCNICO DE NÍVEL MÉDIO EM MECÂNICA,80,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,VERIFICAR PPC DO CURSO,08/09/22
